Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","10,042.60","10,067.25","10,037.55","10,066.25","49.30","0.49","467.52","2,537.01","10,178.95","7,893.80","15.59","0.60"
"BHARTIARTL","386.20","401.75","386.00","397.60","13.00","3.38","21.12","83.96","438.15","283.05","25.86","-1.33"
"INFRATEL","403.00","412.45","401.90","410.10","10.25","2.56","15.05","61.67","425.00","281.75","8.65","10.99"
"HINDPETRO","438.00","447.45","436.70","446.70","10.15","2.33","13.15","58.13","492.80","269.30","52.93","-3.94"
"BAJAJ-AUTO","3,134.70","3,216.90","3,134.65","3,204.45","69.75","2.23","1.95","62.08","3,216.90","2,510.00","11.40","9.38"
"M&M","1,309.00","1,328.55","1,306.00","1,327.50","22.40","1.72","2.91","38.45","1,458.95","1,141.40","-3.59","3.69"
"IOC","412.00","418.50","411.25","417.40","6.55","1.59","8.37","34.78","462.95","281.70","31.63","-2.72"
"AXISBANK","519.90","523.30","519.00","522.50","7.95","1.55","18.61","97.06","547.50","424.40","-1.70","5.79"
"HCLTECH","899.50","914.75","899.50","913.10","13.50","1.50","5.82","52.95","928.00","736.00","12.31","6.09"
"AUROPHARMA","738.95","747.90","737.55","745.90","10.60","1.44","6.89","51.19","863.70","503.05","-12.94","0.57"
"RELIANCE","845.30","858.40","845.10","854.85","11.65","1.38","27.39","233.95","872.50","465.00","-22.03","4.52"
"TCS","2,460.00","2,494.00","2,456.75","2,490.35","31.10","1.26","1.36","33.77","2,708.95","2,051.90","4.62","1.46"
"HEROMOTOCO","3,701.10","3,744.80","3,700.00","3,739.90","44.65","1.21","0.64","23.94","4,091.95","2,849.50","7.20","-5.19"
"GAIL","448.85","457.45","446.60","450.00","5.40","1.21","15.24","68.84","457.45","300.76","7.37","13.98"
"SUNPHARMA","530.80","533.15","525.70","532.40","5.20","0.99","8.32","44.08","759.00","432.70","-29.53","13.89"
"WIPRO","286.95","289.55","286.20","289.55","2.55","0.89","2.60","7.50","303.40","204.05","21.40","-3.85"
"VEDL","322.50","324.90","321.50","323.40","2.40","0.75","19.33","62.52","334.65","191.20","62.06","-1.91"
"ASIANPAINT","1,170.00","1,175.75","1,164.00","1,171.50","8.50","0.73","2.36","27.58","1,262.00","851.10","-3.39","-5.38"
"BPCL","481.05","487.15","479.30","485.75","3.45","0.72","13.45","65.02","546.10","398.77","10.77","-5.17"
"ICICIBANK","271.10","272.00","269.90","271.70","1.90","0.70","23.91","64.80","314.45","217.36","19.50","-6.57"
"TECHM","464.00","469.90","464.00","469.45","3.15","0.68","5.63","26.28","515.25","356.65","11.28","6.33"
"ADANIPORTS","398.50","401.25","396.85","399.50","2.65","0.67","14.60","58.29","421.50","245.15","51.33","3.67"
"LT","1,147.40","1,151.50","1,140.40","1,149.70","7.00","0.61","4.05","46.44","1,250.50","863.40","18.93","-5.60"
"TATASTEEL","694.50","698.80","692.80","694.75","3.95","0.57","9.18","63.86","704.40","366.30","66.05","4.85"
"HDFC","1,750.00","1,763.40","1,741.95","1,754.60","9.85","0.56","2.67","46.84","1,802.00","1,183.15","26.10","-1.52"
"BOSCHLTD","21,350.00","21,379.95","21,230.05","21,338.00","111.40","0.52","0.01","2.29","25,240.00","17,671.60","-7.63","-3.26"
"YESBANK","374.20","375.00","370.90","374.50","1.60","0.43","16.66","62.15","382.90","218.11","46.35","1.65"
"INDUSINDBK","1,728.20","1,735.00","1,718.00","1,732.35","7.20","0.42","2.18","37.73","1,804.00","1,036.70","41.87","-3.29"
"ONGC","171.40","172.15","170.80","171.05","0.70","0.41","7.59","13.00","211.80","155.20","-3.89","4.91"
"SBIN","257.15","258.45","256.55","257.75","0.80","0.31","20.45","52.64","315.30","235.00","0.45","-4.87"
"NTPC","176.10","177.25","175.50","176.05","0.55","0.31","13.42","23.65","179.15","143.30","20.05","3.22"
"HDFCBANK","1,803.25","1,814.45","1,803.25","1,808.00","5.30","0.29","1.82","32.84","1,868.00","1,158.00","40.77","-0.84"
"CIPLA","591.00","594.00","589.15","591.70","1.55","0.26","1.64","9.69","621.25","480.20","1.90","6.83"
"UPL","827.00","832.00","815.60","821.65","2.05","0.25","5.30","43.80","902.50","584.20","22.47","1.20"
"LUPIN","1,067.00","1,069.45","1,052.05","1,062.95","0.95","0.09","3.42","36.20","1,573.60","917.55","-30.08","8.76"
"HINDALCO","252.95","254.60","250.90","252.25","0.20","0.08","27.21","68.78","255.45","147.40","56.92","0.88"
"POWERGRID","205.40","206.10","204.25","204.85","0.10","0.05","12.57","25.80","226.60","166.95","15.05","-4.99"
"BAJFINANCE","1,967.00","1,967.00","1,945.00","1,950.65","-0.15","-0.01","1.60","31.32","1,985.90","760.50","81.63","1.57"
"EICHERMOT","31,637.15","31,748.55","31,462.90","31,530.20","-14.95","-0.05","0.06","20.21","33,480.00","19,530.00","22.19","-2.98"
"AMBUJACEM","279.15","279.50","276.80","277.35","-0.30","-0.11","1.71","4.74","291.50","191.00","7.92","-2.72"
"HINDUNILVR","1,215.00","1,215.00","1,198.60","1,205.85","-3.35","-0.28","2.62","31.50","1,287.60","781.95","37.63","-1.15"
"INFY","935.45","938.00","930.80","932.70","-2.75","-0.29","9.34","87.25","1,082.70","860.00","-9.44","6.15"
"ZEEL","523.30","524.00","520.50","521.30","-1.60","-0.31","3.26","17.02","575.00","427.65","-8.32","0.19"
"KOTAKBANK","1,056.75","1,057.15","1,048.25","1,052.00","-3.65","-0.35","1.97","20.78","1,061.00","692.50","34.84","4.52"
"ULTRACEMCO","3,975.00","3,983.75","3,950.00","3,955.75","-15.05","-0.38","0.28","10.95","4,533.10","3,050.00","-0.53","-5.24"
